
Frame 1696: 2016-10-19-21-04-33.166042: Tool 1, 2: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, *** 180.508591, -75.521309, -1531.122437,  0.316611, 0.579844, -0.693111, 0.288335
Frame 1702: 2016-10-19-21-04-33.248046: Tool 1, 2: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, *** 180.180191, -75.699173, -1531.080933,  0.314526, 0.580141, -0.693630, 0.288770
Frame 1708: 2016-10-19-21-04-33.332051: Tool 1, 2: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, *** 180.122681, -74.927025, -1531.057251,  0.313710, 0.579661, -0.692950, 0.292232
Frame 1711: 2016-10-19-21-04-33.416056: Tool 1, 2: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, *** 180.139694, -74.559631, -1530.885010,  0.313337, 0.580335, -0.692103, 0.293302
Frame 1717: 2016-10-19-21-04-33.498061: Tool 1, 2: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, *** 179.649231, -74.562248, -1531.005493,  0.310949, 0.580809, -0.692652, 0.293609
Frame 1723: 2016-10-19-21-04-33.582066: Tool 1, 2: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, *** 178.827377, -75.419266, -1531.408325,  0.302559, 0.579531, -0.698021, 0.292181
Frame 1726: 2016-10-19-21-04-33.667070: Tool 1, 2: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, *** 177.364029, -76.873657, -1531.992432,  0.297157, 0.573174, -0.707178, 0.288218
Frame 1732: 2016-10-19-21-04-33.749075: Tool 1, 2: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, *** 173.689499, -79.076111, -1533.334717,  0.284885, 0.561027, -0.722946, 0.285376
Frame 1738: 2016-10-19-21-04-33.832080: Tool 1, 2: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, *** 174.270752, -78.715240, -1533.119141,  0.288570, 0.561052, -0.721580, 0.285084
Frame 1741: 2016-10-19-21-04-33.917085: Tool 1, 2: 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, *** 175.485519, -76.373016, -1532.400391,  0.291936, 0.565086, -0.713892, 0.292935
